OBJECTID,name,tile,nd_value,resolution,creationdate,fileurl,spec_type,qual,reg_src,num_gcps,meanresz,active,qc,release_version,num_components,Shape__Area,Shape__Length,x,y
7742,26_19_1_2_2m_v3.0,26_19,-9999,2,"July 7, 2018",http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v3.0/2m/26_19/26_19_1_2_2m_v3.0.tar.gz,DEM,1,ICESat,828,-0.001,1,2,7,39,2500000000,200000,,
7741,26_19_2_1_2m_v3.0,26_19,-9999,2,"July 7, 2018",http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v3.0/2m/26_19/26_19_2_1_2m_v3.0.tar.gz,DEM,0.99096364,ICESat,828,-0.001,1,2,7,39,2500000000,200000,,
7740,26_19_2_2_2m_v3.0,26_19,-9999,2,"July 7, 2018",http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v3.0/2m/26_19/26_19_2_2_2m_v3.0.tar.gz,DEM,1,ICESat,828,-0.001,1,2,7,39,2500000000,200000,,
7930,26_20_1_1_2m_v3.0,26_20,-9999,2,"July 7, 2018",http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v3.0/2m/26_20/26_20_1_1_2m_v3.0.tar.gz,DEM,0.98263988,ICESat,946,-0.001,1,2,7,53,2500000000,200000,,
7931,26_20_1_2_2m_v3.0,26_20,-9999,2,"July 7, 2018",http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v3.0/2m/26_20/26_20_1_2_2m_v3.0.tar.gz,DEM,0.99928344,ICESat,946,-0.001,1,2,7,53,2500000000,200000,,
7932,26_20_2_1_2m_v3.0,26_20,-9999,2,"July 7, 2018",http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v3.0/2m/26_20/26_20_2_1_2m_v3.0.tar.gz,DEM,0.99972999,ICESat,946,-0.001,1,2,7,53,2500000000,200000,,
7933,26_20_2_2_2m_v3.0,26_20,-9999,2,"July 7, 2018",http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v3.0/2m/26_20/26_20_2_2_2m_v3.0.tar.gz,DEM,0.99974998,ICESat,946,-0.001,1,2,7,53,2500000000,200000,,
9064,26_21_1_1_2m_v3.0,26_21,-9999,2,"May 22, 2018",http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v3.0/2m/26_21/26_21_1_1_2m_v3.0.tar.gz,DEM,0.99996544,ICESat,837,-0.002,1,2,7,38,2500000000,200000,,
9062,26_21_1_2_2m_v3.0,26_21,-9999,2,"May 22, 2018",http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v3.0/2m/26_21/26_21_1_2_2m_v3.0.tar.gz,DEM,0.97439616,ICESat,837,-0.002,1,2,7,38,2500000000,200000,,
9063,26_21_2_1_2m_v3.0,26_21,-9999,2,"May 22, 2018",http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v3.0/2m/26_21/26_21_2_1_2m_v3.0.tar.gz,DEM,0.99604129,ICESat,837,-0.002,1,2,7,38,2500000000,200000,,
9065,26_21_2_2_2m_v3.0,26_21,-9999,2,"May 22, 2018",http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v3.0/2m/26_21/26_21_2_2_2m_v3.0.tar.gz,DEM,0.99863387,ICESat,837,-0.002,1,2,7,38,2500000000,200000,,
932,26_22_1_1_2m_v3.0,26_22,-9999,2,"July 7, 2018",http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v3.0/2m/26_22/26_22_1_1_2m_v3.0.tar.gz,DEM,0.98862056,ICESat,970,0,1,2,7,33,2500000000,200000,,
931,26_22_1_2_2m_v3.0,26_22,-9999,2,"July 7, 2018",http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v3.0/2m/26_22/26_22_1_2_2m_v3.0.tar.gz,DEM,0.91023757,ICESat,970,0,1,2,7,33,2500000000,200000,,
1880,27_11_2_1_2m_v3.0,27_11,-9999,2,"May 26, 2018",http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v3.0/2m/27_11/27_11_2_1_2m_v3.0.tar.gz,DEM,0.98886598,ICESat,802,0,1,2,7,49,2500000000,200000,,
1878,27_11_2_2_2m_v3.0,27_11,-9999,2,"May 26, 2018",http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v3.0/2m/27_11/27_11_2_2_2m_v3.0.tar.gz,DEM,0.97687564,ICESat,802,0,1,2,7,49,2500000000,200000,,
1860,27_12_1_1_2m_v3.0,27_12,-9999,2,"July 18, 2018",http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v3.0/2m/27_12/27_12_1_1_2m_v3.0.tar.gz,DEM,0.98728103,ICESat,853,0,1,2,7,41,2500000000,200000,,
1861,27_12_1_2_2m_v3.0,27_12,-9999,2,"July 18, 2018",http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v3.0/2m/27_12/27_12_1_2_2m_v3.0.tar.gz,DEM,0.93014407,ICESat,853,0,1,2,7,41,2500000000,200000,,
1863,27_12_2_1_2m_v3.0,27_12,-9999,2,"July 18, 2018",http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v3.0/2m/27_12/27_12_2_1_2m_v3.0.tar.gz,DEM,0.98816239,ICESat,853,0,1,2,7,41,2500000000,200000,,
1862,27_12_2_2_2m_v3.0,27_12,-9999,2,"July 18, 2018",http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v3.0/2m/27_12/27_12_2_2_2m_v3.0.tar.gz,DEM,0.99119776,ICESat,853,0,1,2,7,41,2500000000,200000,,
5593,27_13_1_1_2m_v3.0,27_13,-9999,2,"May 26, 2018",http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v3.0/2m/27_13/27_13_1_1_2m_v3.0.tar.gz,DEM,0.9949822,ICESat,905,0.002,1,2,7,46,2500000000,200000,,
5592,27_13_1_2_2m_v3.0,27_13,-9999,2,"May 26, 2018",http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v3.0/2m/27_13/27_13_1_2_2m_v3.0.tar.gz,DEM,0.99471665,ICESat,905,0.002,1,2,7,46,2500000000,200000,,
5590,27_13_2_1_2m_v3.0,27_13,-9999,2,"May 26, 2018",http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v3.0/2m/27_13/27_13_2_1_2m_v3.0.tar.gz,DEM,0.99538891,ICESat,905,0.002,1,2,7,46,2500000000,200000,,
5591,27_13_2_2_2m_v3.0,27_13,-9999,2,"May 26, 2018",http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v3.0/2m/27_13/27_13_2_2_2m_v3.0.tar.gz,DEM,0.99649747,ICESat,905,0.002,1,2,7,46,2500000000,200000,,
5160,27_14_1_1_2m_v3.0,27_14,-9999,2,"July 18, 2018",http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v3.0/2m/27_14/27_14_1_1_2m_v3.0.tar.gz,DEM,0.9998002,ICESat,898,-0.004,1,2,7,38,2500000000,200000,,
5159,27_14_1_2_2m_v3.0,27_14,-9999,2,"July 18, 2018",http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v3.0/2m/27_14/27_14_1_2_2m_v3.0.tar.gz,DEM,0.95729189,ICESat,898,-0.004,1,2,7,38,2500000000,200000,,
5157,27_14_2_1_2m_v3.0,27_14,-9999,2,"July 18, 2018",http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v3.0/2m/27_14/27_14_2_1_2m_v3.0.tar.gz,DEM,0.87982214,ICESat,898,-0.004,1,2,7,38,2500000000,200000,,
5158,27_14_2_2_2m_v3.0,27_14,-9999,2,"July 18, 2018",http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v3.0/2m/27_14/27_14_2_2_2m_v3.0.tar.gz,DEM,0.80639452,ICESat,898,-0.004,1,2,7,38,2500000000,200000,,
2996,27_15_1_1_2m_v3.0,27_15,-9999,2,"July 17, 2018",http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v3.0/2m/27_15/27_15_1_1_2m_v3.0.tar.gz,DEM,0.90398794,ICESat,925,0,1,2,7,35,2500000000,200000,,
2995,27_15_1_2_2m_v3.0,27_15,-9999,2,"July 17, 2018",http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v3.0/2m/27_15/27_15_1_2_2m_v3.0.tar.gz,DEM,0.83988971,ICESat,925,0,1,2,7,35,2500000000,200000,,
2998,27_15_2_1_2m_v3.0,27_15,-9999,2,"July 17, 2018",http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v3.0/2m/27_15/27_15_2_1_2m_v3.0.tar.gz,DEM,0.99360044,ICESat,925,0,1,2,7,35,2500000000,200000,,
2997,27_15_2_2_2m_v3.0,27_15,-9999,2,"July 17, 2018",http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v3.0/2m/27_15/27_15_2_2_2m_v3.0.tar.gz,DEM,0.94956679,ICESat,925,0,1,2,7,35,2500000000,200000,,
1689,27_16_1_1_2m_v3.0,27_16,-9999,2,"July 28, 2018",http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v3.0/2m/27_16/27_16_1_1_2m_v3.0.tar.gz,DEM,1,ICESat,928,0,1,2,7,33,2500000000,200000,,
1690,27_16_1_2_2m_v3.0,27_16,-9999,2,"July 28, 2018",http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v3.0/2m/27_16/27_16_1_2_2m_v3.0.tar.gz,DEM,0.99999956,ICESat,928,0,1,2,7,33,2500000000,200000,,
1692,27_16_2_1_2m_v3.0,27_16,-9999,2,"July 28, 2018",http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v3.0/2m/27_16/27_16_2_1_2m_v3.0.tar.gz,DEM,1,ICESat,928,0,1,2,7,33,2500000000,200000,,
1691,27_16_2_2_2m_v3.0,27_16,-9999,2,"July 28, 2018",http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v3.0/2m/27_16/27_16_2_2_2m_v3.0.tar.gz,DEM,0.99958821,ICESat,928,0,1,2,7,33,2500000000,200000,,
2054,27_17_1_1_2m_v3.0,27_17,-9999,2,"May 26, 2018",http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v3.0/2m/27_17/27_17_1_1_2m_v3.0.tar.gz,DEM,1,ICESat,905,0.001,1,2,7,36,2500000000,200000,,
2057,27_17_1_2_2m_v3.0,27_17,-9999,2,"May 26, 2018",http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v3.0/2m/27_17/27_17_1_2_2m_v3.0.tar.gz,DEM,0.99478374,ICESat,905,0.001,1,2,7,36,2500000000,200000,,
2056,27_17_2_1_2m_v3.0,27_17,-9999,2,"May 26, 2018",http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v3.0/2m/27_17/27_17_2_1_2m_v3.0.tar.gz,DEM,0.9780333,ICESat,905,0.001,1,2,7,36,2500000000,200000,,
2055,27_17_2_2_2m_v3.0,27_17,-9999,2,"May 26, 2018",http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v3.0/2m/27_17/27_17_2_2_2m_v3.0.tar.gz,DEM,1,ICESat,905,0.001,1,2,7,36,2500000000,200000,,
7779,27_18_1_1_2m_v3.0,27_18,-9999,2,"May 22, 2018",http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v3.0/2m/27_18/27_18_1_1_2m_v3.0.tar.gz,DEM,0.85666178,ICESat,920,0,1,2,7,45,2500000000,200000,,
7780,27_18_1_2_2m_v3.0,27_18,-9999,2,"May 22, 2018",http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v3.0/2m/27_18/27_18_1_2_2m_v3.0.tar.gz,DEM,0.999857,ICESat,920,0,1,2,7,45,2500000000,200000,,
